식품명,대표식품명,탄수화물(g),Gi수치 ,,,,
레너드페이스구미,젤리,70,78,,,,
레네세홍삼젤리,젤리,88.89,78,,,,
레드라스베리향구미,젤리,70,78,,,,
레드스칼렛석류콜라겐젤리,젤리,45,78,,,,
레디큐츄망고,젤리,83.33,78,,,,
레디큐츄바나나,젤리,75,78,,,,
레몬데이즈비타콜라겐젤리,젤리,20,78,,,,
레몬맛그린빈모양젤리빈,젤리,83,78,,,,
레몬맛젤리,젤리,83,78,,,,
레몬워터젤리,젤리,17,78,,,,
레몬향롤앤롤,젤리,86.86,78,,,,
레인보우젤리스트로우,젤리,26.32,78,,,,
레터앤넘버모양젤리,젤리,75,78,,,,
롤리스틱,젤리,99,78,,,,
롤앤롤,젤리,86.86,78,,,,
마스코바도감귤젤리,젤리,83.33,78,,,,
마스코바도생강젤리,젤리,83.33,78,,,,
마스코바도홍삼젤리,젤리,84.21,78,,,,
마오암브록스,젤리,84,78,,,,
마이구미Jam,젤리,71.15,78,,,,
마이니굿모닝구미,젤리,75,78,,,,
마이니콜라겐구미,젤리,63.89,78,,,,
마이제주젤리귤이퐁당,젤리,83.33,78,,,,
마이쮸딸기/복숭아,젤리,82,78,,,,
마이쮸딸기/포도,젤리,82,78,,,,
마이쮸사과/복숭아,젤리,82,78,,,,
마이쮸스무디바나나딸기,젤리,81.82,78,,,,
마이쮸쏙젤리복숭아,젤리,84.38,78,,,,
마이쮸쏙젤리청사과,젤리,84.38,78,,,,
마이쮸요거트오렌지,젤리,82,78,,,,
마이쮸자일리톨딸기,젤리,85,78,,,,
마이쮸자일리톨복숭아,젤리,81.82,78,,,,
마이쮸자일리톨사과,젤리,85,78,,,,
마이쮸자일리톨포도,젤리,81.82,78,,,,
마이쮸포도,젤리,81.82,78,,,,
마이쮸포도/사과,젤리,82,78,,,,
마카롱모양젤리딸기,젤리,78.57,78,,,,
마카롱모양젤리망고,젤리,78.57,78,,,,
말랑말랑재밌는한글젤리,젤리,84.31,78,,,,
말랑카우솜사탕,젤리,80,78,,,,
말랑카우솜사탕소다,젤리,80,78,,,,
말랑카우챠밍츄,젤리,76,78,,,,
맛있게 배부른 곤약젤리 풋사과,젤리,3.08,78,,,,
맛있는 곤약젤리 사과,젤리,8.67,78,,,,
맛있는 곤약젤리 요구르트,젤리,7.33,78,,,,
맛있는계피제리,젤리,85.71,78,,,,
망고 젤리,젤리,28.89,78,,,,
망고&패션프루츠구미젤리,젤리,77,78,,,,
망고요거트젤리,젤리,19,78,,,,
망고젤리,젤리,21.25,78,,,,
망고코리아,젤리,32.83,78,,,,
망고푸딩,젤리,24,78,,,,
매실워터젤리,젤리,16,78,,,,
맥주모양젤리,젤리,80,78,,,,
머랭밀크젤리,젤리,79.63,78,,,,
머랭초코젤리,젤리,74.07,78,,,,
메가스위트믹스,젤리,80,78,,,,
메디푸드오알에스,젤리,1,78,,,,
메론향롤앤롤,젤리,86.86,78,,,,
모구모구 젤리 딸기,젤리,14,78,,,,
모구모구 젤리 리치,젤리,14,78,,,,
모두랑제리,젤리,58,78,,,,
모리나가하이츄버라이어티(3가지맛),젤리,82.98,78,,,,
몸엔용녹용젤리,젤리,87.5,78,,,,
몽모랑시타트체리젤리스틱,젤리,48,78,,,,
몽소객딸기맛젤리,젤리,69.1,78,,,,
몽소객사과맛젤리,젤리,69.1,78,,,,
몽소객오렌지맛젤리,젤리,69.1,78,,,,
몽소객콜라맛젤리,젤리,69.1,78,,,,
몽키나나,젤리,72.46,78,,,,
무민트로피칼구미,젤리,78,78,,,,
무민해피페이스구미,젤리,79,78,,,,
무스웰 고단백,젤리,15,78,,,,
무스웰미니컵이뮨,젤리,22.5,78,,,,
무스웰미니컵칼슘디,젤리,10.91,78,,,,
무스웰이온,젤리,2.22,78,,,,
무지젤리,젤리,70,78,,,,
물고기모양구미,젤리,70,78,,,,
미니곰모양젤리,젤리,85.87,78,,,,
미니구미베어,젤리,82,78,,,,
미니믹스구미젤리,젤리,77,78,,,,
미니버터플라이구미,젤리,70,78,,,,
미니베어구미젤리,젤리,77,78,,,,
미니사우어웜스모양젤리,젤리,88.4,78,,,,
미니사우어하트모양젤리,젤리,88.15,78,,,,
미니산딸기모양젤리,젤리,90.94,78,,,,
미니슈가드곰모양젤리,젤리,88.08,78,,,,
미니얌믹스,젤리,87,78,,,,
미니카우테일즈,젤리,76,78,,,,
미니콜라병구미젤리,젤리,76,78,,,,
미니프라이드에그모양젤리,젤리,86.25,78,,,,
밀감요거트젤리,젤리,22,78,,,,
밀크맛젤리딸기우유맛,젤리,83.33,78,,,,
밀크맛젤리바나나우유맛,젤리,85,78,,,,
밀크맛젤리흰우유맛,젤리,83.33,78,,,,
바나나&오렌지구미젤리,젤리,78,78,,,,
바나나모양구미,젤리,78,78,,,,
바나나모양젤리,젤리,82,78,,,,
바나나향구미,젤리,72,78,,,,
바나나향모양구미,젤리,81,78,,,,
바로느껴지는프로폴리스,젤리,70.97,78,,,,
바이오본유기농비바바첸곰젤리,젤리,77,78,,,,
바이오본유기농새콤달콤젤리,젤리,77,78,,,,
바이오본유기농소프트베리,젤리,80,78,,,,
바이오본유기농소프트젤리(푸룻향),젤리,79,78,,,,
바이탈콜라겐구미젤리,젤리,70,78,,,,
바이탈헬스식이섬유푸룬구미젤리,젤리,80,78,,,,
박카스맛젤리,젤리,80,78,,,,
박카스맛젤리신맛,젤리,80,78,,,,
백두대간도라지젤리,젤리,75,78,,,,
백두대간복분자젤리,젤리,83.33,78,,,,
버거모양구미캔디,젤리,80,78,,,,
버거세트모양젤리,젤리,81.25,78,,,,
베르센페르센,젤리,77.14,78,,,,
베리앤체리젤리빈,젤리,90,78,,,,
베베토 사워 웜즈,젤리,91.25,78,,,,
베베토 수박모양 젤리,젤리,91.25,78,,,,
베베토 오션파크모양 젤리,젤리,82.5,78,,,,
베베토 유니콘모양 젤리,젤리,76.25,78,,,,
베베토 치즈케익모양 젤리,젤리,82.5,78,,,,
베베토 콜라향 젤리,젤리,82.5,78,,,,
베베토 퍼니 베어,젤리,82.5,78,,,,
베베토 피치향링,젤리,91.25,78,,,,
베베토 후픽스,젤리,91.25,78,,,,
베베토미니베어,젤리,83,78,,,,
베베토베어,젤리,83,78,,,,
베어구미젤리,젤리,77,78,,,,
베어리스타오가닉젤리,젤리,78,78,,,,
보석젤리복숭아,젤리,78,78,,,,
보석젤리소다향,젤리,78,78,,,,
보석젤리코하쿠토,젤리,80,78,,,,
복분자젤리,젤리,87,78,,,,
복분자젤리2,젤리,85.71,78,,,,
복숭아 젤리,젤리,23.33,78,,,,
복숭아과즙그대로마이구미,젤리,71.21,78,,,,
복숭아구미젤리,젤리,77,78,,,,
복숭아맛그린빈모양젤리빈,젤리,83,78,,,,
복숭아요구르트젤리,젤리,76,78,,,,
복숭아코리아,젤리,32.83,78,,,,
복숭아향구미링,젤리,73,78,,,,
복숭아향하트,젤리,78,78,,,,
복숭아향하트모양구미,젤리,78,78,,,,
복숭아향하트모양젤리,젤리,79,78,,,,
복음자리잼잼딸기젤리,젤리,78,78,,,,
복음자리잼잼포도젤리,젤리,78,78,,,,
복음자리잼잼한라봉감귤젤리,젤리,78,78,,,,
본아트구미젤리베어,젤리,68.75,78,,,,
본아트구미젤리사우어웜&피치링,젤리,76.25,78,,,,
본아트구미젤리콜라향,젤리,68.75,78,,,,
본즈구미,젤리,76,78,,,,
브라운구미,젤리,70,78,,,,
브라운페이스구미,젤리,70,78,,,,
블록젤리,젤리,75,78,,,,
블루검콜라겐구미,젤리,67,78,,,,
블루라스베리향구미,젤리,70,78,,,,
블루베리/아사이그린빈모양젤리빈,젤리,90,78,,,,
블루베리구미제리,젤리,73,78,,,,
블루베리젤리,젤리,92.86,78,,,,
블루베리큐브제리,젤리,89.23,78,,,,
비달거미모양구미,젤리,80,78,,,,
비달레인보우스트로베리향펜슬형젤리,젤리,85,78,,,,
비달로봇모양구미,젤리,75,78,,,,
비달미니젤리베어,젤리,75,78,,,,
비달바나나모양젤리,젤리,83,78,,,,
비달베어구미,젤리,79,78,,,,
비달베지말로우,젤리,82,78,,,,
비달사우어리코믹스,젤리,85,78,,,,
비달사우어벨트모양구미,젤리,82,78,,,,
비달사우어칼라스트로우,젤리,81,78,,,,
비달사워펜슬모양수박향젤리,젤리,84.78,78,,,,
비달샤크젤리,젤리,77,78,,,,
비달수박향슬라이스,젤리,78,78,,,,
비달스트로베리향&크림향드롭스,젤리,80,78,,,,
비달오션젤리,젤리,72.73,78,,,,
비달워터멜론슬라이스모양젤리,젤리,80,78,,,,
비달젤리믹스,젤리,76.6,78,,,,
비달젤리벨트사과맛,젤리,89,78,,,,
비달젤리빈,젤리,89,78,,,,
비달젤리펜슬딸기맛,젤리,89,78,,,,
비달크리피구미,젤리,72.73,78,,,,
비달트로피칼프로그젤리,젤리,75,78,,,,
비달트로피칼후르츠젤리,젤리,77,78,,,,
비달팹믹스젤리,젤리,77,78,,,,
비달프라이드계란모양젤리,젤리,77,78,,,,
비달피자모양젤리,젤리,78,78,,,,
비달할로윈믹스,젤리,77,78,,,,
비달후르츠바이트젤리,젤리,86,78,,,,
비타500젤리,젤리,83.33,78,,,,
비타노니젤리,젤리,77.5,78,,,,
비타민B&C 슈가프리 샤인머스켓 구미,젤리,79.44,78,,,,
비타민C구미젤리레몬맛,젤리,82,78,,,,
비타민C구미젤리자몽맛,젤리,82.1,78,,,,
비타민C구미젤리청포도맛,젤리,82,78,,,,
비타민C청포도젤리,젤리,82,78,,,,
비타민나무젤리C,젤리,77.78,78,,,,
비틀즈,젤리,85,78,,,,
빅쪼니복숭아,젤리,90,78,,,,
빅쪼니포도,젤리,90,78,,,,
빙수제리,젤리,88,78,,,,
빙수젤리,젤리,91,78,,,,
빵빵덕레몬젤리,젤리,58,78,,,,
빼빼로초코젤리,젤리,66.67,78,,,,
뼈다귀모양젤리,젤리,75,78,,,,
뽀로로과일맛젤리,젤리,71.7,78,,,,
뽀로로과일맛젤리포도복숭아레몬맛,젤리,77.36,78,,,,
뽀로로와친구들젤리요구르트,젤리,80,78,,,,
쁘띠첼 복숭아,젤리,21.11,78,,,,
쁘띠첼 요거젤리 딸기,젤리,17.78,78,,,,
쁘띠첼 요거젤리 밀감,젤리,16.67,78,,,,
쁘띠첼 요거젤리 복숭아,젤리,17.78,78,,,,
쁘띠첼 요거젤리 화이트코코,젤리,16.67,78,,,,
쁘띠첼 포도,젤리,17.78,78,,,,
쁘띠첼구미젤리레몬,젤리,74,78,,,,
쁘띠첼구미젤리사과,젤리,72,78,,,,
쁘띠첼구미젤리파인애플,젤리,72,78,,,,
쁘띠첼구미젤리포도,젤리,74,78,,,,
쁘띠첼망고,젤리,20,78,,,,
쁘띠첼망고젤리,젤리,18.89,78,,,,
쁘띠첼밀감,젤리,18.89,78,,,,
쁘띠첼복숭아,젤리,21.11,78,,,,
쁘띠첼요거젤리딸기,젤리,16.67,78,,,,
쁘띠첼요거젤리밀감,젤리,16.67,78,,,,
쁘띠첼요거젤리블루베리,젤리,18.57,78,,,,
쁘띠첼젤리밀감,젤리,16.19,78,,,,
쁘띠첼젤리복숭아,젤리,16.67,78,,,,
쁘띠첼젤리코코그린애플,젤리,17.14,78,,,,
쁘띠첼젤리코코레몬,젤리,18.1,78,,,,
쁘띠첼젤리파인애플,젤리,18.1,78,,,,
쁘띠첼젤리포도,젤리,17.14,78,,,,
쁘띠첼코코그린애플,젤리,16.67,78,,,,
쁘띠첼코코레몬,젤리,18.89,78,,,,
쁘띠첼코코자몽,젤리,17.78,78,,,,
쁘띠첼코코체리,젤리,17.78,78,,,,
쁘띠첼코코포도,젤리,17.78,78,,,,
쁘띠첼포도,젤리,18.89,78,,,,
쁘띠첼푸딩커스타드,젤리,17.78,78,,,,
쁘띠포,젤리,34.08,78,,,,
사과곤약젤리,젤리,18,78,,,,
사과맛그린빈모양젤리빈,젤리,87,78,,,,
사과푸딩,젤리,21,78,,,,
사우어감자튀김모양구미젤리,젤리,75,78,,,,
사우어골드베렌,젤리,77,78,,,,
사우어구미베어,젤리,70,78,,,,
사우어네온웜즈구미,젤리,70,78,,,,
사우어멀티향립롤,젤리,82,78,,,,
사우어미니네온구미웜즈,젤리,73,78,,,,
사우어복숭아하트모양구미젤리,젤리,77,78,,,,
사우어사과링모양젤리,젤리,88.07,78,,,,
사우어수박구미젤리,젤리,77,78,,,,
사우어스트로베리향펜슬,젤리,84,78,,,,
사우어악어모양어솔티드젤리,젤리,88.05,78,,,,
사우어오렌지향앤레몬향슬라이스모양젤리,젤리,88.05,78,,,,
사우어웜구미젤리,젤리,81.04,78,,,,
사우어웜스모양젤리,젤리,88.4,78,,,,
사우어잭,젤리,72.22,78,,,,
사우어젤리빈,젤리,90,78,,,,
사우어콜라병모양젤리,젤리,88.04,78,,,,
사우어파인애플향구미,젤리,72,78,,,,
사우어프라이드에그모양젤리,젤리,88.06,78,,,,
사우어프루츠쥬스만다린구미젤리,젤리,77,78,,,,
사우어피치하트구미젤리,젤리,77,78,,,,
사우어하트모양구미,젤리,72,78,,,,
사워더미스젤리,젤리,80,78,,,,
사워웜젤리,젤리,84,78,,,,
사워코티드빅버블검모양젤리,젤리,72,78,,,,
사워코티드콜라향젤리,젤리,72,78,,,,
사워테디모양젤리,젤리,72,78,,,,
사워패치키즈,젤리,92.2,78,,,,
사워패치키즈익스트림,젤리,90.27,78,,,,
사이다멜짱,젤리,100,78,,,,
산딸기모양젤리,젤리,90.96,78,,,,
산약촌고구마젤리,젤리,90,78,,,,
산약촌복분자젤리,젤리,90,78,,,,
산약촌블루베리젤리,젤리,90,78,,,,
산약촌사과젤리,젤리,33.33,78,,,,
산약촌오디젤리,젤리,90,78,,,,
삼겹살모양젤리,젤리,72.73,78,,,,
삼누리홍삼젤리,젤리,90.91,78,,,,
상어모양구미,젤리,70,78,,,,
상어모양어솔티드젤리,젤리,86.27,78,,,,
상어모양젤리,젤리,77,78,,,,
상큼한감귤푸딩,젤리,22,78,,,,
상큼한사과푸딩,젤리,21,78,,,,
새콤달콤딸기,젤리,87.5,78,,,,
새콤달콤딸기레모네이드,젤리,82,78,,,,
새콤달콤레모네이드,젤리,87.5,78,,,,
새콤달콤복숭아,젤리,82.76,78,,,,
새콤달콤블루베리소다향,젤리,82.76,78,,,,
새콤달콤비타C,젤리,84.38,78,,,,
새콤달콤수박블루베리소다향,젤리,82,78,,,,
새콤달콤콜라레모네이드,젤리,82,78,,,,
새콤달콤키위,젤리,87.5,78,,,,
새콤달콤키위레모네이드,젤리,82,78,,,,
새콤달콤포도,젤리,87.5,78,,,,
새콤달콤포도복숭아,젤리,82,78,,,,
샐리구미,젤리,70,78,,,,
샐리페이스구미,젤리,70,78,,,,
생강젤리,젤리,92,78,,,,
생쥐모양구미,젤리,78,78,,,,
생활활력[편)홍삼품은아미노산PRO,젤리,7.78,78,,,,
샤프트골드베렌,젤리,75,78,,,,
서주 개골개골 개골이젤리,젤리,75,78,,,,
서주 고슴도치 젤리,젤리,80.56,78,,,,
서주 냥젤리,젤리,75,78,,,,
서주 뒤뚱뒤뚱 아기펭귄젤리,젤리,79.17,78,,,,
서주레인보우젤리,젤리,80.43,78,,,,
서주쑥떡모양젤리,젤리,77.5,78,,,,
서주아이스주젤리,젤리,75,78,,,,
서주탱글탱글리치맛,젤리,70,78,,,,
서주탱글탱글망고맛,젤리,72.5,78,,,,
서주흑임자떡모양젤리,젤리,77.5,78,,,,
석류젤리with콜라겐,젤리,43.33,78,,,,
석류콜라겐S,젤리,55.71,78,,,,
석류콜라겐구미젤리,젤리,71.64,78,,,,
석류포스트바이오틱스구미,젤리,80,78,,,,
세가지맛더탱글마이구미,젤리,70,78,,,,
세리박스 곤약젤리 복숭아,젤리,8,78,,,,
세리박스 곤약젤리 청포도,젤리,8,78,,,,
소셜미디어젤리믹스,젤리,75,78,,,,
송이젤리,젤리,83.33,78,,,,
수박맛그린빈모양젤리빈,젤리,93,78,,,,
수박모양젤리,젤리,80,78,,,,
수박바 아이스 톡톡젤리,젤리,22.96,78,,,,
수박바젤리,젤리,84.62,78,,,,
수박통통젤리,젤리,80,78,,,,
수박향구미링,젤리,73,78,,,,
수박향슬라이스모양구미,젤리,78,78,,,,
수제코하쿠토젤리,젤리,80,78,,,,
수퍼 벨트,젤리,84,78,,,,
슈가드곰모양젤리,젤리,88.08,78,,,,
슈가드바나나모양젤리,젤리,88.36,78,,,,
슈가드복숭아향하트모양젤리,젤리,88.19,78,,,,
슈가드파리지엥어솔티드젤리,젤리,88.01,78,,,,
슈가로로 무설탕 비타민 구미 복숭아,젤리,62.22,78,,,,
슈퍼100 구미젤리 딸기맛,젤리,80,78,,,,
슈퍼100 구미젤리 복숭아맛,젤리,80,78,,,,
슈퍼100 구미젤리 샤인머스캣맛,젤리,78,78,,,,
슈퍼베어구미젤리,젤리,76,78,,,,
슈퍼콜라겐젤리,젤리,24,78,,,,
슈퍼프루츠구미젤리,젤리,75,78,,,,
슈퍼프르츠구미젤리,젤리,75,78,,,,
스누피캐릭터구미,젤리,83,78,,,,
스누피캐릭터슈가구미,젤리,91,78,,,,
스무디킹젤리딸기,젤리,84.29,78,,,,
스무디킹젤리복숭아,젤리,84.29,78,,,,
스미스젤리빈,젤리,90,78,,,,
스위트딸기맛,젤리,21.82,78,,,,
스위트복숭아맛,젤리,21.82,78,,,,
스위트사과맛,젤리,21.82,78,,,,
스위트앤젤밀감,젤리,18.89,78,,,,
스위트앤젤복숭아,젤리,18.89,78,,,,
스위트앤젤파인,젤리,18.89,78,,,,
스위트젤리,젤리,83.1,78,,,,
스위트케이크모양젤리,젤리,83,78,,,,
스크류바젤리,젤리,83.33,78,,,,
스크류바포도젤리,젤리,84,78,,,,
스키틀즈,젤리,90,78,,,,
스타믹스,젤리,77.2,78,,,,
스트로베리구미젤리,젤리,76,78,,,,
스파이더모양구미,젤리,70,78,,,,
스파이시망고향구미,젤리,79.49,78,,,,
스푹테큘러믹스구미,젤리,70,78,,,,
시그니처애플사이다비니거,젤리,92.59,78,,,,
시크릿쥬쥬나노블럭구미,젤리,80,78,,,,
시크릿쥬쥬불빛요술봉젤리,젤리,83.33,78,,,,
시크릿쥬쥬하트젤리,젤리,78.57,78,,,,
신비아파트금비젤리비스틱,젤리,80,78,,,,
신비아파트신비젤리비스틱,젤리,80,78,,,,
신비아파트워터젤리(딸기맛),젤리,12.5,78,,,,
신비아파트워터젤리(사과맛),젤리,13,78,,,,
신야미얌곤야젤리(망고맛),젤리,3.08,78,,,,
신야미얌곤약젤리(복숭아맛),젤리,3.23,78,,,,
신야미얌곤약젤리(사과맛),젤리,3.23,78,,,,
신야미얌곤약젤리(청포도맛),젤리,3.23,78,,,,
신야미얌곤약젤리(포도맛),젤리,3.08,78,,,,
신쫄이 딸기,젤리,91.67,78,,,,
신쫄이 레몬콜라,젤리,91.67,78,,,,
신쫄이 샤인머스캣,젤리,83.33,78,,,,
신쫄이MAX콜라맛,젤리,73.81,78,,,,
신쫄이딸기맛,젤리,87.5,78,,,,
신쫄이레몬콜라맛,젤리,85.42,78,,,,
신쫄이사과맛,젤리,87.5,78,,,,
쏠라C구미샤인머스켓맛,젤리,70,78,,,,
쑥떡쑥떡 쑥젤리,젤리,89,78,,,,
씹어먹는프리바이오틱스복숭아맛,젤리,76,78,,,,
씹어먹는프리바이오틱스청포도맛,젤리,76,78,,,,
아기공룡둘리워터젤리복숭아,젤리,13.33,78,,,,
아나콘다모양구미,젤리,75,78,,,,
아르기닌젤리스틱 6000,젤리,4.4,78,,,,
아미가이즈구미,젤리,67,78,,,,
아미노포켓콜라겐젤리,젤리,30,78,,,,
아이셔젤리레몬맛,젤리,71.43,78,,,,
아이셔젤리블루에이드맛,젤리,69.39,78,,,,
아이스버그구미젤리,젤리,74,78,,,,
아이쭉쭉워터젤리제주감귤,젤리,15,78,,,,
아이쭉쭉워터젤리체리베리,젤리,13,78,,,,
아침햇살,젤리,78,78,,,,
악어모양구미,젤리,78,78,,,,
악어젤리,젤리,80,78,,,,
알바니즈곰모양구미,젤리,70,78,,,,
알바니즈꽃모양구미,젤리,70,78,,,,
알바니즈사우어곰모양구미,젤리,73,78,,,,
알바니즈샤베트곰모양구미,젤리,70,78,,,,
알베르잔믹스과일젤리,젤리,80,78,,,,
알파벳모양구미,젤리,70,78,,,,
알펜리베슈퍼윙스,젤리,75,78,,,,
알펜리베오리지널200입,젤리,89,78,,,,
알펜리베탑믹스,젤리,75,78,,,,
애니즈홈그로운후룻스낵버라이어티42파우치팩,젤리,82.61,78,,,,
애터미몽모랑시타트체리스틱,젤리,53.33,78,,,,
애플링구미,젤리,73,78,,,,
애플망고향제리뽀,젤리,20,78,,,,
얌베리/그린티그린빈모양젤리빈,젤리,90,78,,,,
어솔티드그린빈,젤리,90,78,,,,
어솔티드링,젤리,79,78,,,,
어솔티드믹스그린빈(10가지맛),젤리,90,78,,,,
어솔티드베리모양구미,젤리,78,78,,,,
어솔티드후르츠향구미베어,젤리,70,78,,,,
어솔티드후르츠향웜즈구미,젤리,70,78,,,,
어쏘티드링모양젤리,젤리,79,78,,,,
어쏠티드후르츠젤리,젤리,88,78,,,,
어피치젤리,젤리,70,78,,,,
언더더씨,젤리,70,78,,,,
엄마오디가좋아,젤리,83.33,78,,,,
에이쮸소다,젤리,89.29,78,,,,
에이쮸애플망고,젤리,89.29,78,,,,
에이펙셀부추칼슘제리,젤리,92.86,78,,,,
에펠탑모양구미,젤리,70,78,,,,
엘라스틴콜라겐곤약젤리깔라만시,젤리,0.83,78,,,,
엘라스틴콜라겐곤약젤리리치,젤리,0.83,78,,,,
엘라스틴콜라겐곤약젤리망고,젤리,0.83,78,,,,
엘라스틴콜라겐곤약젤리복숭아,젤리,0.83,78,,,,
엘라스틴콜라겐곤약젤리석류,젤리,0.83,78,,,,
엘라스틴콜라겐곤약젤리자몽,젤리,0.83,78,,,,
엘라스틴콜라겐곤약젤리청포도,젤리,0.83,78,,,,
엘라스틴콜라겐곤약젤리체리,젤리,0.83,78,,,,
엘라스틴콜라겐곤약젤리파인애플,젤리,0.83,78,,,,
엘라스틴콜라겐곤약젤리풋사과,젤리,0.83,78,,,,
엠보젤리블루베리,젤리,85,78,,,,
엠보젤리포도,젤리,85,78,,,,
엠엑스부스트구미,젤리,73.81,78,,,,
연못속 개구리알젤리 청포도맛,젤리,62.86,78,,,,
연어초밥모양젤리,젤리,72.73,78,,,,
오뚜기젤리,젤리,82.5,78,,,,
오렌지과즙그대로마이구미,젤리,69.09,78,,,,
오렌지맛그린빈모양젤리빈,젤리,90,78,,,,
오렌지맛젤리,젤리,83,78,,,,
오렌지바틀구미,젤리,70,78,,,,
오리지날젤리빈-사우어센세이션,젤리,90,78,,,,
오리지날젤리빈-스위트센세이션,젤리,91,78,,,,
오리히로 푸룬토 곤약젤리 복숭아맛,젤리,8.92,78,,,,
오리히로 푸룬토 곤약젤리 포도맛,젤리,9,78,,,,
오키오그레이프구미,젤리,88,78,,,,
오키오망고구미,젤리,88,78,,,,
오키오복숭아구미,젤리,88,78,,,,
오키오스트로베리구미,젤리,88,78,,,,
오키오오렌지구미,젤리,88,78,,,,
오키오파인애플구미,젤리,88,78,,,,
옥미웨이연탕,젤리,92,78,,,,
옥수수모양구미,젤리,76,78,,,,
올키비타꾸미,젤리,81.67,78,,,,
옹알이비건젤리푸룬맛,젤리,84,78,,,,
와일드스트로베리구미,젤리,76,78,,,,
와키스틱피지,젤리,88,78,,,,
왕꿈틀이,젤리,73.13,78,,,,
왕꿈틀이복숭아맛,젤리,73.21,78,,,,
요거트푸딩,젤리,23,78,,,,
요구르트젤리,젤리,72.73,78,,,,
요미큐유산균아연젤리,젤리,80,78,,,,
워터젤리복숭아,젤리,18.67,78,,,,
웜구미젤리,젤리,77,78,,,,
웜모양젤리,젤리,75,78,,,,
웜스모양젤리,젤리,85.88,78,,,,
웰치스믹스후르츠맛,젤리,73.91,78,,,,
유기농 구미베어 젤리,젤리,80,78,,,,
유기농곰모양구미,젤리,76,78,,,,
유기농떼글이달고나,젤리,93.33,78,,,,
유기농망고,젤리,20,78,,,,
유기농바이오본요거트젤리,젤리,78,78,,,,
유기농블루베리,젤리,21.88,78,,,,
유기농비타민과일모양구미,젤리,76.67,78,,,,
유기농콜라바틀모양구미,젤리,76,78,,,,
유기농포도모양구미,젤리,75,78,,,,
유기농후르티스틱모양구미,젤리,77,78,,,,
유기농후르티정글구미,젤리,77,78,,,,
유니콘구미젤리,젤리,75,78,,,,
유스에이지로얄프로폴리스젤리,젤리,34,78,,,,
유알엠유산균구미젤리오렌지맛,젤리,68,78,,,,
유알엠유산균구미젤리포도맛,젤리,72,78,,,,
유피칼시빈,젤리,79,78,,,,
이벤블루베리맛젤리,젤리,11.67,78,,,,
이벤크랜베리맛젤리,젤리,11.67,78,,,,
이벤파인애플맛젤리,젤리,11.67,78,,,,
인삼제리,젤리,18,78,,,,
자두알맹이,젤리,75,78,,,,
자몽&오렌지구미젤리,젤리,77,78,,,,
자몽나린진스틱,젤리,28,78,,,,
자몽젤리,젤리,22.25,78,,,,
자연내림진리,젤리,73,78,,,,
자연내림진리라임,젤리,73,78,,,,
자이언트곰모양젤리,젤리,79,78,,,,
자이언트사우어콜라향바틀,젤리,80,78,,,,
자이언트콜라향바틀,젤리,75,78,,,,
장인정신에브리데이아츄구미젤리,젤리,81.67,78,,,,
잼있는젤리체리자두,젤리,82,78,,,,
잼있는젤리파인포도,젤리,82,78,,,,
정일품홍삼제리,젤리,85,78,,,,
제로클럽젤리,젤리,73.77,78,,,,
제리뽀말캉젤리라즈베리레몬밤,젤리,0.77,78,,,,
제리뽀말캉젤리망고,젤리,20,78,,,,
제리뽀말캉젤리밀크소다향,젤리,16.92,78,,,,
제리뽀말캉젤리복숭아,젤리,17.69,78,,,,
제리뽀말캉젤리사과레몬밤,젤리,0,78,,,,
제리씨,젤리,22.55,78,,,,
제리종합,젤리,87.78,78,,,,
제리종합양갱,젤리,84.21,78,,,,
제리종합제리,젤리,88,78,,,,
제제르예헤이즐넛,젤리,80,78,,,,
제주감귤비타젤리,젤리,72.55,78,,,,
제주감귤제리뽀,젤리,20,78,,,,
제주감귤젤리말삭말삭하G,젤리,81.11,78,,,,
제주미라클비타구미,젤리,74,78,,,,
제주아르방젤리감귤맛,젤리,75.51,78,,,,
제주애아몬드종합제리,젤리,82,78,,,,
제주종합제리,젤리,91.67,78,,,,
제트파이터구미,젤리,70,78,,,,
젝트미니베어구미젤리,젤리,77,78,,,,
젤라틴프리유기농곰모양구미,젤리,78,78,,,,
젤라틴프리유기농후르티웜즈구미,젤리,84,78,,,,
젤로미뽀로로,젤리,90,78,,,,
젤로미쥬쥬,젤리,90,78,,,,
젤로미크롱,젤리,90,78,,,,
젤로미패티,젤리,90,78,,,,
젤로피해피베어젤리,젤리,69.2,78,,,,
젤리 팬슬,젤리,90,78,,,,
젤리구미,젤리,77.53,78,,,,
젤리데이 포도&복숭아,젤리,79.01,78,,,,
젤리데이망고&그린애플,젤리,77.78,78,,,,
젤리데이망고&파인애플,젤리,77.78,78,,,,
젤리데이복숭아,젤리,72.73,78,,,,
젤리데이석류,젤리,69.39,78,,,,
젤리데이포도,젤리,72.73,78,,,,
젤리벨리 20가지 혼합맛,젤리,90,78,,,,
젤리벨리 사우어,젤리,89,78,,,,
젤리벨리 후르티향믹스,젤리,90,78,,,,
젤리벨트딸기향,젤리,87,78,,,,
젤리벨트사과향,젤리,87,78,,,,
젤리볼,젤리,83.1,78,,,,
젤리빈,젤리,92.55,78,,,,
젤리빈스,젤리,94.91,78,,,,
젤리뽀 딸기맛,젤리,26.67,78,,,,
젤리뽀 망고맛,젤리,26.67,78,,,,
젤리뽀 사과맛,젤리,26.67,78,,,,
